"name","alt_name","ra","dec","vmag","multiple","class","bv_color","parallax","spect_code","spect_type","parsec","amag","temp","L","R"
"HR 8667","47Lam Peg","22 46 31.90","+23 33 56.2",3.95,"","STAR G8III",1.07,0.042,"","G8IIIa*",23.8095238095238,2.0662464519895,4580.71996243678,12.7497426634681,5.72452177703335
"HR 5534","","14 50 15.79","+23 54 42.8",5.85,"","STAR G0V",0.56,0.069,"","G0-2V",14.4927536231884,5.04424545368628,6128.71133670347,0.820921856316744,0.811462703222112
"HR 3900","22 Leo","09 51 52.99","+24 23 43.1",5.32,"","STAR A5IV",0.23,0.04,"","A5IV",25,3.33029995663981,7937.86669492884,3.97997200567447,1.06509511601904
"HR 8684","Sadalbari","22 50 00.19","+24 36 06.1",3.48,"","STAR G8III",0.93,0.04,"","G8+III",25,1.49029995663981,4917.34467884771,21.6710531532832,6.47641535472781
"HR 6410","Sarin","17 15 01.90","+24 50 21.1",3.14,"","STAR A3IV",0.08,0.044,"","A3IV",22.7272727272727,1.35726338243094,9225.6595386702,24.4959703130292,1.95617842044893
"HR 4864","","12 48 46.99","+24 50 25.1",6.31,"","STAR G7V",0.7,0.043,"","G7V",23.2558139534884,4.47734227789793,5601.69784421307,1.38376738069532,1.26109607216055
"HR 5634","45 Boo","15 07 18.10","+24 52 09.1",4.93,"W","STAR F5V",0.43,0.064,"","F5V",15.625,3.96089986991944,6724.41765680052,2.22658896327126,1.1101116323643
"HR 5304","12 Boo","14 10 23.90","+25 05 30.1",4.83,"","STAR F9IV",0.54,0.042,"","F9IV w",23.8095238095238,2.9462464519895,6212.86601819369,5.66893424036281,2.07502207175425
"HR 8430","24Iot Peg","22 07 00.70","+25 20 42.0",3.76,"W","STAR F5V",0.44,0.082,"","F5V",12.1951219512195,3.32906926191858,6674.16152396619,3.98448590841617,1.50747010671001
"HR 2569","37 Gem","06 55 18.60","+25 22 32.2",5.73,"","STAR G0V",0.57,0.055,"","G0V",18.1818181818182,4.43181344747122,6087.54696175448,1.44302754459559,1.09045726064293
"HR 4694","","12 20 17.69","+26 00 06.8",6.15,"","STAR F0IV",0.3,0.06,"","F0IV",16.6666666666667,5.04075625191822,7461.86379410064,0.823564274867873,0.548289718466545
"HR 3626","75 Cnc","09 08 47.30","+26 37 45.1",5.98,"W","STAR G5IV",0.66,0.04,"","G5IV-V",25,3.99029995663981,5742.12894230995,2.16710531532832,1.50193146135279
"HR 5793","Alphecca","15 34 41.30","+26 42 52.9",2.23,"","STAR A0V",-0.02,0.045,"","A0V+G5V",22.2222222222222,0.496062568876718,10381.7666052594,54.1470714144783,2.2966824458293
"HR 9088","85 Peg","00 02 10.20","+27 04 54.8",5.75,"","STAR G5V",0.67,0.083,"","G5VbFe-2",12.0481927710843,5.34539046188037,5706.31890614856,0.622076528374858,0.814827759994996
"HR 3262","18Chi Cnc","08 20 03.91","+27 13 04.1",5.14,"","STAR F6V",0.47,0.061,"","F6V",16.3934426229508,4.06664917505384,6528.15538382991,2.01994865363667,1.12187684925797
"HR 6623","86Mu Her","17 46 27.50","+27 43 14.2",3.42,"","STAR G5IV",0.75,0.108,"","G5IV",9.25925925925926,3.58711877743475,5436.13657414801,3.1416115796282,2.01767639582634
"HR 4983","43Bet Com","13 11 52.39","+27 52 41.2",4.26,"W","STAR F9V",0.57,0.12,"","F9.5V",8.33333333333333,4.65590623023812,6087.54696175448,1.17391731364116,0.983535617501484
"HR 2990","Pollux","07 45 18.91","+28 01 34.0",1.14,"","STAR K0III",1,0.094,"e","K0IIIb",10.6382978723404,1.00563926799849,4742.73817785268,33.8644707628813,8.70301702748583
"HR 3522","Copernicus","08 52 35.81","+28 19 50.9",5.95,"","STAR G8V",0.87,0.074,"","G8V",13.5135135135135,5.29615859865488,5078.23000643186,0.650933406549021,1.0524452994093
"HR 8309","78Mu 1Cyg","21 44 08.59","+28 44 34.1",4.73,"","STAR F6V",0.48,0.049,"","F6V",20.4081632653061,3.18098040014257,6481.0089238789,4.56675633545683,1.71149119111375
"HR 8310","78Mu 2Cyg","21 44 08.30","+28 44 35.2",6.08,"","STAR G2V",0.36,0.049,"","G2V",20.4081632653061,4.53098040014257,7100.66776619471,1.31706691385605,0.765705067567857
"HR 8354","15 Peg","21 52 29.90","+28 47 35.9",5.53,"","STAR F6IV",0.42,0.04,"","F6IV-V vw",25,3.54029995663981,6775.50181903304,3.28004662656108,1.32712876784945
"HR 8","","00 06 36.79","+29 01 17.0",6.13,"","STAR K0V",0.75,0.067,"","K0V",14.9253731343284,5.26037401350413,5436.13657414801,0.672744869770999,0.933685181400542
"HR 2643","","07 03 30.41","+29 20 13.9",5.93,"","STAR G4V",0.6,0.059,"","G4V",16.9491525423729,4.78426005821072,5967.54345019065,1.04302802289601,0.964745576253478
"HR 4223","43 LMi","10 48 57.19","+29 24 56.9",6.15,"","STAR",1.15,0.038,"","sgK1",26.3157894736842,4.04891798308405,4409.23403236527,2.05320733346561,2.4793970997484
"HR 544","Mothallah","01 53 04.90","+29 34 44.0",3.41,"W","STAR F6IV",0.49,0.057,"","F6IV",17.5438596491228,2.18937427836246,6434.59264125922,11.3828310181676,2.74118922182467
"HR 5447","28Sig Boo","14 34 40.80","+29 44 42.0",4.46,"W","STAR F2V",0.36,0.068,"","F2V",14.7058823529412,3.62254456353118,7100.66776619471,3.04076021654393,1.16345258442629
"HR 7670","","20 03 37.39","+29 53 48.1",5.71,"","STAR G6IV",0.73,0.047,"","G6IV+M6V",21.2765957446809,4.07048928967859,5501.09296333651,2.01281696455006,1.57710337389202
"HR 5728","2Eta CrB","15 23 12.31","+30 17 16.1",6.08,"","STAR G3V",NA,0.061,"","G3V",16.3934426229508,5.00664917505384,NA,0.849846186554254,NA
"HR 5727","2Eta CrB","15 23 12.31","+30 17 16.1",5.58,"","STAR G0V",0.58,0.061,"","G0V",16.3934426229508,4.50664917505384,6046.97292442445,1.34691543570887,1.06770211751834
"HR 6775","99 Her","18 07 01.51","+30 33 42.8",5.04,"","STAR F7V",0.52,0.06,"","F7V",16.6666666666667,3.93075625191822,6299.551258613,2.28927254170278,1.28258308658632
"HR 4374","53Xi UMa","11 18 10.90","+31 31 45.1",4.87,"","STAR G0V",NA,0.137,"","G0V",7.2992700729927,5.55360283578203,NA,0.513521777198556,NA
"HR 4375","Alula Australis","11 18 10.99","+31 31 45.1",4.41,"","STAR G0V",0.59,0.137,"","G0V",7.2992700729927,5.09360283578203,6006.97602123838,0.784438437014608,0.825702545241667
"HR 6212","40Zet Her","16 41 17.21","+31 36 11.2",2.81,"","STAR G0IV",0.65,0.102,"","G0IV",9.80392156862745,2.85300085880959,5778.42373106621,6.17731369970223,2.50401568243306
"HR 2852","62Rho Gem","07 29 06.70","+31 47 03.8",4.18,"","STAR F0V",0.32,0.062,"","F0V",16.1290322580645,3.14195844749127,7337.07925498482,4.73387320137873,1.35962104100115
"HR 2891","Castor","07 34 36.00","+31 53 17.9",1.98,"","STAR A1V",0.03,0.067,"","A1V",14.9253731343284,1.11037401350413,9765.80348463867,30.7503734596321,1.95598366164411
"HR 2890","66Alp Gem","07 34 36.00","+31 53 19.0",2.88,"","STAR A2V",0.04,0.067,"","A2Vm",14.9253731343284,2.01037401350413,9652.20313612445,13.4230248624272,1.32290384220097
"HR 3951","20 LMi","10 01 00.70","+31 55 25.0",5.36,"W","STAR G3V",0.66,0.053,"","G3VaHdel 1",18.8679245283019,3.98137934800395,5742.12894230995,2.18498399845067,1.50811422509971
"HR 6458","72 Her","17 20 39.60","+32 28 04.1",5.39,"","STAR G0V",0.62,0.069,"","G0V",14.4927536231884,4.58424545368628,5890.32201232126,1.25401236417525,1.08574745854962
"HR 523","","01 48 41.59","+32 41 25.1",5.79,"","STAR F8V",0.55,0.038,"","F8V",26.3157894736842,3.68891798308405,6170.47967033232,2.8604397644748,1.49428879166341
"HR 7162","","18 57 01.61","+32 54 05.0",5.22,"","STAR F9V",0.59,0.057,"","F9V",17.5438596491228,3.99937427836246,6006.97602123838,2.14906864905254,1.36668785405762
"HR 7368","","19 23 34.01","+33 13 19.9",6.37,"","STAR G8V",0.81,0.057,"","G8V",17.5438596491228,5.14937427836246,5250.70638342662,0.745161294778756,1.05328443044759
"HR 5968","15Rho CrB","16 01 02.69","+33 18 13.0",5.41,"W","STAR G0V",0.6,0.04,"","G0+VaFe-1",25,3.42029995663981,5967.54345019065,3.66336352821268,1.80802660227069
"HR 4784","","12 33 47.40","+33 23 04.9",6.24,"","STAR K0III",1.05,0.056,"","K0III",17.8571428571429,4.980940135031,4625.80966805384,0.870209752170931,1.46653503024463
"HR 9074","","23 59 29.21","+33 43 27.8",6.58,"","STAR G0V",0.55,0.051,"","G0V",19.6078431372549,5.11785088048968,6170.47967033232,0.767113539011488,0.7738342708401
"HR 9075","","23 59 29.21","+33 43 27.8",6.58,"","STAR G0V",NA,0.051,"","G0V",19.6078431372549,5.11785088048968,NA,0.767113539011488,NA
"HR 7534","17 Cyg","19 46 25.61","+33 43 40.1",4.99,"","STAR F7V",0.47,0.049,"","F7V",20.4081632653061,3.44098040014257,6528.15538382991,3.59424634638472,1.49650764952698
"HR 664","9Gam Tri","02 17 18.91","+33 50 49.9",4.01,"","STAR A1V",0.02,0.039,"","A1Vnn",25.6410256410256,1.9653230351325,9882.4225367889,13.9917097040284,1.28844101850126
"HR 6064","17Sig CrB","16 14 40.80","+33 51 29.9",6.66,"","STAR G1V",NA,0.045,"","G1V",22.2222222222222,4.92606256887672,NA,0.91532425847645,NA
"HR 6063","17Sig CrB","16 14 40.80","+33 51 31.0",5.64,"","STAR G0V",0.51,0.045,"","G0VCaIIe",22.2222222222222,3.90606256887672,6343.88059887468,2.34193572968022,1.27918533742048
"HR 7949","Aljanah","20 46 12.70","+33 58 13.1",2.46,"","STAR K0III",1.03,0.057,"","K0-III",17.5438596491228,1.23937427836246,4671.84461782582,27.3055097580166,8.05386510713341
"HR 4496","61 UMa","11 41 03.00","+34 12 06.1",5.33,"W","STAR G8V",0.72,0.119,"","G8V",8.40336134453782,5.70773480696265,5534.19669646673,0.445559878878747,0.733161825974211
"HR 660","8Del Tri","02 17 03.19","+34 13 27.1",4.87,"","STAR G0V",0.61,0.093,"","G0.5V",10.752688172043,4.71241474276968,5928.66279537508,1.11438203679497,1.0103213701752
"HR 6538","","17 32 01.10","+34 16 14.9",6.56,"","STAR G5V",0.65,0.055,"","G5V",18.1818181818182,5.26181344747122,5778.42373106621,0.671853557334288,0.825799331108179
"HR 3974","21 LMi","10 07 25.80","+35 14 40.9",4.48,"","STAR A7V",0.18,0.05,"","A7V",20,2.97485002168009,8321.09183135199,5.52153705841154,1.1416299480857
"HR 2141","","06 06 08.50","+35 23 15.0",6.12,"W","STAR G0V",0.6,0.046,"","G0V",21.7391304347826,4.43378915840787,5967.54345019065,1.4404040593705,1.13372304822525
"HR 337","Mirach","01 09 43.90","+35 37 14.2",2.06,"","STAR M0III",1.58,0.049,"e","M0+IIIa",20.4081632653061,0.510980400142568,3677.01462878403,53.408187532529,18.1831529438292
"HR 3815","11 LMi","09 35 39.60","+35 48 37.1",5.41,"","STAR G8V",0.77,0.109,"","G8V",9.1743119266055,5.59713248970312,5372.79413651137,0.493340766361442,0.818519609123638
"HR 17","","00 08 40.99","+36 37 36.1",6.19,"","STAR F8IV",0.48,0.044,"","F8IV",22.7272727272727,4.40726338243094,6481.0089238789,1.47602817323086,0.97301172075896
"HR 3690","38 Lyn","09 18 50.69","+36 48 09.0",3.82,"","STAR A3V",0.06,0.042,"","A3V",23.8095238095238,1.9362464519895,9433.58016477511,14.3714774971537,1.43302447544243
"HR 7345","","19 19 38.90","+37 19 50.2",6.31,"","STAR G8V",0.68,0.038,"","G8V",26.3157894736842,4.20891798308405,5670.98353386583,1.77187388289865,1.39237307955093
"HR 5734","51Mu 2Boo","15 24 30.91","+37 20 52.1",6.5,"","STAR G1V",0.59,0.039,"","G1V",25.6410256410256,4.4553230351325,6006.97602123838,1.41211733999378,1.10784648334653
"HR 5733","Alkalurops","15 24 29.40","+37 22 37.9",4.31,"","STAR F2IV",0.31,0.039,"","F2IVa",25.6410256410256,2.2653230351325,7398.89677649071,10.6137972177941,2.00196943783271
"HR 4550","","11 52 58.80","+37 43 07.0",6.45,"","STAR G8V",0.75,0.116,"","G8Vp",8.62068965517241,6.77228994613459,5436.13657414801,0.167141394607296,0.465390249038025
"HR 4168","38 LMi","10 39 07.61","+37 54 36.0",5.85,"","STAR F9V",0.57,0.038,"","F9V",26.3157894736842,3.74891798308405,6087.54696175448,2.70665440299448,1.493439869989
"HR 5936","12Lam CrB","15 55 47.59","+37 56 48.8",5.45,"W","STAR F0IV",0.33,0.044,"","F0IV",22.7272727272727,3.66726338243094,7276.37848235238,2.91806288642718,1.0853573430546
"HR 1278","50 Per","04 08 36.60","+38 02 22.9",5.51,"","STAR F7V",0.46,0.049,"","F7V",20.4081632653061,3.96098040014257,6576.05027253688,2.22642382089534,1.16072585347861
"HR 8130","65Tau Cyg","21 14 47.50","+38 02 44.2",3.72,"","STAR F2IV",0.39,0.055,"","F2IV",18.1818181818182,2.42181344747122,6933.9434519686,9.18913476945219,2.12096111569687
"HR 6806","","18 09 37.49","+38 27 27.0",6.4,"","STAR K2V",0.87,0.092,"","K2V",10.8695652173913,6.21893913672778,5078.23000643186,0.278243062842156,0.688087114571166
"HR 7683","","20 05 09.79","+38 28 41.9",6.19,"","STAR G5IV",0.64,0.041,"","G5IV",24.390243902439,4.25391928359868,5815.21365745919,1.69993488600532,1.29700239715639
"HR 269","37Mu And","00 56 45.19","+38 29 57.8",3.87,"","STAR A5V",0.13,0.039,"","A5V",25.6410256410256,1.8253230351325,8747.60628840386,15.9173507346231,1.75393269515583
"HR 8086","61 Cyg","21 06 55.30","+38 44 35.9",6.03,"","STAR K7V",1.37,0.294,"","K7V",3.40136054421769,8.37173665206079,4000.1320989497,0.0383093990331102,0.411490667152748
"HR 8085","61 Cyg","21 06 54.60","+38 44 44.9",5.21,"","STAR K5V",1.18,0.292,"","K5V",3.42465753424658,7.53691425724209,4348.3479227935,0.0826483708208795,0.511475180140784
"HR 7001","Vega","18 36 56.30","+38 47 01.0",0.03,"","STAR A0V",0,0.123,"","A0Va",8.13008130081301,0.47952555719699,10125.2371916509,54.9781063588255,2.43299078645355
"HR 4845","10 CVn","12 44 59.50","+39 16 44.0",5.95,"","STAR G0V",0.55,0.063,"","G0V",15.8730158730159,4.94670274726791,6170.47967033232,0.898088015687186,0.837293242296794
"HR 6091","","16 19 55.10","+39 42 31.0",5.46,"W","STAR F3IV",0.4,0.043,"","F3IV-V",23.2558139534884,3.62734227789793,6880.24181865167,3.02735317195841,1.23646015681325
"HR 1729","15Lam Aur","05 19 08.50","+40 05 57.1",4.71,"","STAR G1IV",0.63,0.066,"","G1.5IV-VFe-1",15.1515151515152,3.80771967770934,5852.50941399956,2.56396521529054,1.57263453919362
"HR 788","12 Per","02 42 14.90","+40 11 38.0",4.91,"S","STAR F9V",0.59,0.043,"","F9V",23.2558139534884,3.07734227789793,6006.97602123838,5.02415568837175,2.08966050670174
"HR 4277","Chalawan","10 59 28.01","+40 25 49.1",5.05,"","STAR G1V",0.61,0.072,"","G1-VFe-0.5",13.8888888888889,4.33666248215634,5928.66279537508,1.57519747561457,1.20118525199317
"HR 936","Algol","03 08 10.10","+40 57 20.2",2.12,"","STAR B8V",-0.05,0.045,"","B8V",22.2222222222222,0.386062568876719,10795.0739206822,59.9204370599988,2.23456109003526
"HR 3928","19 LMi","09 57 41.09","+41 03 20.2",5.14,"","STAR F6V",0.46,0.04,"","F6V s",25,3.15029995663981,6576.05027253688,4.69764308761379,1.68603174174963
"HR 4067","","10 22 10.49","+41 13 45.8",5.76,"","STAR F7V",0.54,0.041,"","F7V",24.390243902439,3.82391928359868,6212.86601819369,2.52599383668241,1.38512240514236
"HR 4785","Chara","12 33 44.50","+41 21 27.0",4.26,"S","STAR G0V",0.59,0.117,"","G0V",8.54700854700855,4.60092930873081,6006.97602123838,1.23489000777505,1.03599659668895
"HR 458","Titawin","01 36 47.81","+41 24 20.2",4.09,"W","STAR F8V",0.54,0.062,"","F8V",16.1290322580645,3.05195844749127,6212.86601819369,5.143001144932,1.97642492182596
"HR 3579","","09 00 38.40","+41 46 58.1",3.97,"W","STAR F5V",0.44,0.07,"","F5V",14.2857142857143,3.19549020007128,6674.16152396619,4.50613210820183,1.60311442204432
"HR 5914","1Chi Her","15 52 40.49","+42 27 06.1",4.62,"","STAR F8V",0.56,0.056,"","F8VFe-2Hdel -1",17.8571428571429,3.360940135031,6128.71133670347,3.8692246507174,1.76169055979878
"HR 483","","01 41 47.21","+42 36 49.0",4.95,"A","STAR G1V",0.62,0.081,"","G1.5V",12.3456790123457,4.49242509439325,5890.32201232126,1.36467728326413,1.13264260367284
"HR 2483","56Psi5Aur","06 46 44.30","+43 34 39.0",5.25,"","STAR G0V",0.56,0.068,"","G0V",14.7058823529412,4.41254456353118,6128.71133670347,1.46886598749391,1.08544729685401
"HR 2088","Menkalinan","05 59 31.70","+44 56 51.0",1.9,"","STAR A2IV",0.03,0.041,"","A2IV",24.390243902439,-0.0360807164013224,9765.80348463867,88.3959335090426,3.31631800484665
"HR 4486","","11 38 44.90","+45 06 31.0",6.44,"","STAR G0V",0.56,0.049,"","G0V",20.4081632653061,4.89098040014257,6128.71133670347,0.945383111988264,0.870806323562032
"HR 6847","","18 15 32.59","+45 12 33.8",6.29,"","STAR G2V",0.62,0.044,"","G2V",22.7272727272727,4.50726338243094,5890.32201232126,1.34615369318125,1.12492931844931
"HR 3309","","08 27 36.79","+45 39 11.2",6.32,"","STAR G5V",0.62,0.046,"","G5V",21.7391304347826,4.63378915840787,5890.32201232126,1.1980759123336,1.0612558091555
"HR 1708","Capella","05 16 41.40","+45 59 53.2",0.08,"","STAR G5III",0.8,0.073,"v","G5IIIe+G0III",13.6986301369863,-0.60338569939772,5280.67192699478,149.057653354153,14.7283722889869
"HR 3881","","09 48 35.40","+46 01 16.0",5.09,"","STAR G0V",0.62,0.073,"","G0.5Va",13.6986301369863,4.40661430060228,5890.32201232126,1.47691084574047,1.17829776004069
"HR 5351","Xuange","14 16 22.99","+46 05 17.9",4.18,"","STAR A0",0.08,0.045,"","A0p",22.2222222222222,2.44606256887672,9225.6595386702,8.98617707955547,1.18480976905367
"HR 8961","16Lam And","23 37 33.89","+46 27 29.2",3.82,"W","STAR G8III",1.01,0.05,"v","G8III-IV",20,2.31485002168009,4718.8560860257,10.1405145219916,4.81074699901874
"HR 8523","2 Lac","22 21 01.61","+46 32 12.1",4.57,"","STAR B6V",-0.1,0.04,"","B6V",25,2.58029995663981,11572.8177295341,7.94108815755339,0.707811752876752
"HR 8208","","21 25 19.61","+46 42 51.8",5.6,"","STAR F0V",0.32,0.039,"","F0V",25.6410256410256,3.5553230351325,7337.07925498482,3.23497393610422,1.12394474060632
"HR 5618","44 Boo","15 03 47.40","+47 39 15.8",4.76,"","STAR F9V",0.65,0.086,"","F9-G1Vn",11.6279069767442,4.43249225621784,5778.42373106621,1.44212563714205,1.2098701586304
"HR 3569","Talitha","08 59 12.41","+48 02 30.1",3.14,"","STAR A7IV",0.19,0.075,"","A7IV",13.3333333333333,2.5153063169585,8241.21457706369,8.43096862684879,1.43817680335282
"HR 4098","","10 28 03.79","+48 47 04.9",6.44,"W","STAR F9V",0.6,0.053,"","F9V",18.8679245283019,5.06137934800395,5967.54345019065,0.808068654996021,0.849158845423756
"HR 799","13The Per","02 44 12.00","+49 13 41.9",4.12,"","STAR F8V",0.49,0.077,"","F8V",12.987012987013,3.55245362586241,6434.59264125922,3.24353470890565,1.46326554329428
"HR 8830","7 And","23 12 33.00","+49 24 23.0",4.52,"","STAR F0V",0.29,0.051,"","F0V",19.6078431372549,3.05785088048968,7526.0143827317,5.11516500568278,1.34324651698883
"HR 937","Iot Per","03 09 04.01","+49 36 47.9",4.05,"W","STAR G0V",0.59,0.084,"","G0V",11.9047619047619,3.67139643030941,6006.97602123838,2.90697587702036,1.58951600201272
"HR 2849","22 Lyn","07 29 55.99","+49 40 21.0",5.36,"W","STAR F6V",0.45,0.042,"","F6V",23.8095238095238,3.4762464519895,6624.71247225369,3.47937644651244,1.42979123187796
"HR 7293","","19 12 04.61","+49 51 15.1",6.75,"","STAR G4V",0.65,0.044,"","G4V",22.7272727272727,4.96726338243094,5778.42373106621,0.881240903410704,0.945767834862944
"HR 7294","","19 12 04.99","+49 51 22.0",6.57,"","STAR G4V",0.65,0.044,"","G4V",22.7272727272727,4.78726338243094,5778.42373106621,1.04014682327603,1.02750640978794
"HR 7469","13The Cyg","19 36 26.50","+50 13 16.0",4.48,"","STAR F4V",0.38,0.056,"","F4V",17.8571428571429,3.220940135031,6988.5647815367,4.40173553763675,1.44508026335959
"HR 8585","7Alp Lac","22 31 17.50","+50 16 57.0",3.77,"","STAR A1V",0.01,0.04,"","A1V",25,1.78029995663981,10002.1885227085,16.5912847623471,1.36963840090081
